success_prob,lat_mean,lat_std,cost_mean
0.3975,12.27,5.03,3217.51
0.4957,9.48,4.47,4004.7
0.4125,12.53,6.82,3794.65
0.6977,2.2,0.62,1011.28
0.2994,12.49,6.73,3475.29
0.3229,9.21,4.36,3029.14
0.3926,10.69,5.52,3248.33
0.5634,2.44,0.8,920.24
0.3252,7.21,3.37,3050.11
0.7436,1.87,0.33,802.09
0.2309,8.28,4.39,3434.56
0.8901,0.81,0.1,400.17
0.4367,6.37,2.77,2804.62
0.1771,17.67,8.86,6302.57
0.7095,2.47,0.73,577.88
0.2513,9.83,4.64,2872.43
0.413,9.89,3.65,2426.03
0.4097,5.74,2.52,1550.71
0.2741,13.02,7.08,5353.15
0.8377,1.09,0.28,537.85
0.444,10.53,3.72,2018.84
0.6659,4.35,1.09,1050.34
0.4623,9.42,3.82,2513.12
0.8392,1.31,0.19,618.95
0.5412,4.53,1.89,1547.13
0.5239,4.07,1.78,1477.9
0.7508,2.58,0.54,967.04
0.5324,4.82,2.2,2023.87
0.5839,5.69,2.39,1499.13
0.5504,8.42,2.75,1888.44
0.2831,10.13,4.21,3442.8
0.4293,4.7,1.56,2053.0
0.3624,13.62,6.66,4821.51
0.3427,7.78,3.59,3245.23
0.4855,7.86,3.25,3217.17
0.4955,6.76,2.05,1637.25
0.5116,6.43,2.17,2331.47
0.7219,2.54,0.82,1059.26
0.8767,1.92,0.44,614.0
0.3052,9.53,3.37,3344.24
0.3099,22.39,9.18,5510.11
0.4146,13.11,6.96,5143.85
0.8835,1.14,0.11,376.66
0.7194,2.83,0.8,949.39
0.4651,5.3,1.52,1865.26
0.5139,6.34,2.5,2102.44
0.3268,19.85,7.9,4330.67
0.6216,2.5,0.77,759.43
0.7113,3.11,0.98,1441.9
0.2576,17.13,9.08,7355.69
0.1734,17.78,8.81,6247.94
0.6127,6.9,2.13,1427.88
0.2826,23.09,11.21,8308.52
0.284,15.15,6.15,5162.09
0.8494,1.33,0.26,532.89
0.6833,2.45,0.73,746.46
0.3236,15.4,7.03,3447.24
0.3158,19.5,10.5,3931.77
0.5299,3.42,1.09,1295.93
0.6439,4.12,0.87,1252.32
0.7072,2.57,0.65,937.52
0.3705,7.81,3.74,2447.82
0.6346,4.89,1.63,1798.82
0.3298,18.38,8.96,6091.77
0.2854,12.65,5.45,4050.09
0.3337,10.78,4.75,2507.45
0.4891,11.05,4.19,2208.83
0.421,6.65,2.57,2210.99
0.2603,21.19,11.87,6146.28
0.6654,2.47,0.81,844.68
0.2217,27.93,15.03,8030.35
0.1302,23.9,14.35,5038.11
0.9817,1.43,0.27,433.27
0.7822,3.51,0.69,1273.57
0.5137,5.08,1.13,1711.1
0.2879,16.72,7.18,5595.68
0.7652,1.62,0.46,474.58
0.3243,8.39,4.3,3190.91
0.6515,2.87,0.64,956.52
0.4097,8.04,3.52,2763.02
0.4502,8.94,3.65,2802.89
0.7785,4.74,1.7,1427.69
0.4606,6.94,3.18,2622.18
0.6113,4.5,1.81,1140.49
0.7362,3.04,0.87,796.3
0.8546,1.56,0.32,447.67
0.4031,8.66,3.61,3777.71
0.5187,6.11,2.57,2581.3
0.4631,6.99,2.36,2558.12
0.7312,2.06,0.5,735.82
0.5479,5.2,2.08,1089.52
0.5185,5.92,2.68,2299.1
0.6622,3.15,0.9,785.94
0.261,14.43,8.34,3697.31
0.4332,10.13,4.15,4054.48
0.5516,5.71,2.32,1502.43
0.5202,11.98,4.42,4786.85
0.2288,18.29,10.03,6849.62
0.2036,14.31,7.16,5531.01
0.3326,11.91,5.11,4133.02
0.7502,2.08,0.49,733.45
0.7044,2.64,0.85,1073.93
0.8176,1.88,0.35,828.53
0.4371,5.59,1.92,2164.82
0.279,10.7,5.33,4256.29
0.6612,4.54,1.18,1931.7
0.565,4.5,1.79,1727.31
0.6026,2.84,1.16,1268.28
0.6853,2.33,0.7,688.24
0.2052,23.73,13.04,9951.87
0.5733,3.79,1.59,1626.71
0.3425,12.06,6.71,2476.43
0.1864,19.25,10.15,6272.76
0.2943,19.25,11.51,5899.78
0.7237,3.14,0.67,1305.04
0.4932,6.79,2.36,1577.02
0.4811,5.41,1.7,1758.45
0.2863,14.08,7.08,4367.41
0.439,3.51,1.29,1091.87
0.6012,3.63,1.05,1580.86
0.5543,5.25,1.76,1703.58
0.9822,1.68,0.23,728.42
0.4739,5.11,2.14,2100.17
0.3541,8.37,4.37,1927.65
0.5679,5.4,1.67,1449.33
0.253,8.41,4.36,2132.7
0.6201,3.7,1.2,1589.15
0.3427,15.22,7.59,6042.23
0.5548,3.8,1.37,1336.79
0.6302,3.53,0.96,1082.14
0.6666,2.36,0.76,789.53
0.3742,15.97,7.79,5118.8
0.5,6.71,2.33,2153.74
0.5887,4.35,1.27,1278.42
0.4408,6.3,2.71,1360.43
0.6116,4.83,1.82,2004.7
0.5804,8.53,3.69,3027.17
0.3014,13.65,7.8,3042.28
0.8084,2.14,0.6,987.74
0.6818,2.24,0.59,806.42
0.2042,24.48,12.51,8751.64
0.3318,7.73,3.19,1831.2
0.6013,5.58,1.65,2392.64
0.7055,3.17,0.97,751.02
0.6215,3.15,0.9,1336.59
0.3245,11.91,5.76,4339.18
0.6322,4.2,1.08,1119.01
0.6802,2.57,0.61,718.45
0.3028,18.2,9.61,7022.62
0.7964,2.63,0.52,523.71
0.587,4.16,1.38,1018.1
0.3296,19.58,10.1,6806.15
0.4014,8.8,3.47,1872.52
0.0895,30.63,19.71,9669.64
0.6238,7.22,2.11,2391.4
0.4924,4.66,1.72,1058.26
0.6596,5.6,1.7,1678.31
0.5047,8.75,3.69,1814.97
0.5387,6.62,2.48,2875.4
0.4643,9.07,3.81,2284.45
0.5875,3.34,1.2,1232.53
0.3742,6.76,2.69,2345.93
0.3298,11.62,5.23,4388.45
0.4651,5.07,1.91,1509.94
0.6514,3.03,1.14,865.58
0.254,27.2,14.33,8443.45
0.3014,16.25,8.96,5706.24
0.3157,7.79,3.51,2912.99
0.8175,1.87,0.56,515.92
0.4988,7.4,3.11,2778.78
0.3542,13.44,6.56,2925.55
0.671,3.01,0.73,1066.99
0.6733,2.33,0.51,876.42
0.419,10.93,5.61,2416.62
0.4711,8.49,3.9,3537.35
0.6632,4.3,1.94,1475.16
0.4997,3.76,1.03,1078.29
0.8318,2.72,0.67,522.88
0.4012,8.75,3.33,3280.27
0.1188,27.93,14.94,10772.55
0.4963,6.64,2.59,1422.74
0.4472,12.1,5.5,3087.64
0.4752,5.86,1.91,2092.25
0.7006,3.4,1.02,1068.88
0.5943,3.58,1.4,1038.04
0.5355,6.43,2.64,1898.03
0.2608,17.98,9.56,5462.59
0.601,4.17,1.35,1082.4
0.3294,12.29,5.71,3439.48
0.6362,3.47,0.99,869.59
0.4186,9.72,4.62,1954.48
0.7934,3.52,0.66,1601.1
0.3652,8.15,3.61,1709.02
0.6121,3.11,0.87,771.63
0.8116,1.54,0.33,642.01
0.6493,2.59,0.61,1258.57
0.4015,10.09,3.9,3968.67
0.4642,5.84,2.26,1366.88
0.851,1.41,0.24,514.53
0.4516,8.95,3.77,3266.67
0.5514,6.29,1.41,2365.38
0.6824,3.7,0.76,838.46
0.6201,4.65,1.56,1358.3
0.3866,9.43,4.1,2351.19
0.5733,4.51,1.41,1615.38
0.7073,3.51,1.17,1141.56
0.5452,2.88,0.86,893.21
0.5894,2.42,0.7,971.41
0.5966,5.15,1.49,2055.6
0.8412,1.93,0.62,866.18
0.8135,1.95,0.42,830.13
0.6664,2.66,0.83,711.0
0.3674,15.81,7.7,6364.69
0.513,6.86,1.94,1699.51
0.4671,7.58,2.89,1597.18
0.5119,5.13,1.93,1549.83
0.4479,7.74,3.11,2862.87
0.7235,2.6,1.07,786.98
0.7175,3.03,0.84,808.65
0.569,5.99,2.5,1251.06
0.2261,21.24,12.68,7092.27
0.6611,1.68,0.46,684.73
0.6196,3.59,1.15,1225.54
0.586,5.24,1.69,1683.32
0.2938,28.99,13.04,11316.44
0.5122,6.58,2.58,1934.62
0.5735,6.54,2.53,1958.64
0.6214,5.27,1.9,1830.78
0.9474,1.09,0.18,601.35
0.3363,7.34,3.84,2875.61
0.7429,2.57,0.49,671.14
0.4291,4.38,1.94,1844.46
0.8365,1.49,0.28,570.35
0.3271,8.91,4.11,3679.24
0.3583,15.65,7.16,5028.76
0.8538,1.78,0.33,683.76
0.7014,2.3,0.75,646.22
0.5256,5.49,2.05,1742.4
0.9607,1.15,0.2,420.12
0.8615,1.42,0.24,679.41
0.5458,4.9,1.55,2077.26
0.397,7.33,4.02,2306.66
0.5535,6.34,2.13,2542.92
0.2206,12.24,4.62,4868.57
0.545,7.03,2.3,2954.56
0.6084,4.83,1.72,1416.43
0.3761,10.18,4.62,2459.4
0.8054,2.42,0.71,1152.26
0.447,10.4,5.08,3529.09
0.2659,9.45,4.14,2817.32
0.6241,5.99,1.63,1873.03
0.8515,1.85,0.27,638.66
0.9778,1.5,0.24,515.88
0.6441,3.47,0.72,1087.07
0.5595,3.54,1.07,1083.02
0.627,3.32,1.43,1128.26
0.5484,4.7,1.69,1552.84
0.6716,3.26,0.95,797.29
0.7221,2.82,0.65,554.66
0.8067,0.97,0.24,335.2
0.8599,2.05,0.43,679.99
0.4882,5.53,2.27,2430.6
0.2783,15.86,8.24,4670.06
0.7683,3.63,1.11,1064.43
0.4124,9.68,4.42,3172.11
0.5698,3.96,1.34,1498.22
0.3689,13.94,6.44,2815.52
0.2695,12.48,6.42,4527.13
0.527,6.94,2.44,1656.65
0.7668,1.68,0.38,488.09
0.8212,1.52,0.45,586.71
0.5985,6.88,2.22,2324.84
0.7576,2.45,0.45,955.23
0.3641,14.8,6.65,5576.65
0.6274,4.11,1.6,1390.88
0.4706,10.34,3.16,2369.63
0.556,5.8,2.38,2223.57
0.2086,17.34,8.36,5248.65
0.5266,3.84,1.14,1404.7
0.5201,7.58,2.66,2257.29
0.4613,13.47,6.02,3849.45
0.6066,4.28,1.4,1652.94
0.5364,4.0,1.6,1281.93
0.6909,2.49,0.92,1064.75
0.4053,5.99,2.46,2225.74
0.5077,5.48,2.06,1719.74
0.4869,3.62,1.55,1009.92
0.1927,20.12,11.79,3892.32
0.4595,9.77,3.54,2254.75
0.7736,2.46,0.68,683.71
0.5751,4.43,1.49,1034.64
0.7831,1.25,0.26,663.95
0.6741,4.39,1.19,1221.51
0.2093,26.49,13.87,5089.76
0.4692,8.36,4.06,2418.69
0.5601,2.17,0.65,937.15
0.1855,19.99,12.15,5376.55
0.7659,2.0,0.46,902.4
0.5826,4.94,1.48,2055.44
0.2959,17.48,9.11,6967.67
0.2991,16.55,7.11,5700.64
0.7118,2.46,0.72,1067.54
0.7234,3.3,0.9,946.15
0.6278,2.99,1.08,1087.13
0.6662,3.0,1.21,853.89
0.5094,9.26,3.09,2335.44
0.7549,3.12,0.79,1419.62
0.6408,4.23,1.09,1498.99
0.6965,3.96,1.71,909.99
0.4757,6.76,2.6,1658.5
0.5949,4.2,1.1,1317.63
0.5935,4.27,1.86,1707.52
0.2357,18.82,8.98,7553.25
0.7981,3.58,0.53,905.43
0.7388,2.05,0.44,547.48
0.4254,15.38,6.23,3260.77
0.7323,1.66,0.43,729.06
0.6123,4.58,1.34,1618.41
0.4509,6.44,2.6,2378.55
0.3915,10.72,4.8,3595.48
0.5486,6.95,3.02,1494.74
0.4235,7.19,3.01,1938.37
0.6347,4.02,1.08,1169.82
0.566,4.33,1.47,1701.45
0.4602,4.9,2.24,1797.24
0.4226,10.66,5.52,4496.75
0.3973,8.53,3.15,2010.17
0.8409,1.34,0.35,574.83
0.5473,6.08,2.31,1439.63
0.2283,23.64,10.93,6308.86
0.4006,7.63,2.64,1656.84
0.7277,2.32,0.72,616.63
0.2071,25.5,15.32,5908.8
0.4585,12.68,4.84,3088.06
0.3146,20.35,9.8,6495.73
0.7093,3.08,0.62,1246.46
0.2485,20.43,11.6,7397.97
0.5002,5.42,2.05,2092.57
0.4437,6.58,2.17,2421.36
0.7823,3.48,1.02,1592.03
0.5762,3.94,1.05,789.65
0.2343,16.88,8.94,7155.93
0.2857,9.25,3.82,2678.89
0.4904,8.82,3.55,2680.94
0.5898,4.75,1.56,1631.38
0.9223,1.34,0.07,381.84
0.7292,2.66,0.92,783.91
0.6257,3.14,1.18,1108.17
0.6526,5.69,1.74,2093.14
0.5785,3.48,1.2,1521.01
0.6203,2.32,0.77,693.7
0.8109,1.39,0.35,442.04
0.3096,18.74,10.97,6231.61
0.589,5.19,1.86,1582.09
0.7241,2.2,0.57,702.41
0.6262,3.57,1.27,1077.76
0.6155,3.71,1.02,1371.45
0.7935,2.5,0.43,662.89
0.7906,1.74,0.49,475.51
0.7527,2.4,0.65,567.15
0.67,4.21,0.9,1434.45
0.5615,7.81,2.43,2077.4
0.3167,7.3,3.51,2485.62
0.5104,4.97,1.49,2151.65
0.5729,3.49,1.01,1054.2
0.6495,4.6,2.08,1153.85
0.5718,5.09,1.78,1146.27
0.6125,3.03,1.02,1367.44
0.558,4.56,1.9,1474.25
0.361,11.99,5.08,4524.33
0.4051,7.68,3.24,3109.75
0.5441,7.83,3.79,3380.88
0.691,2.71,0.9,1209.03
0.4766,6.59,3.4,1789.07
0.2788,10.3,4.71,3340.75
0.1538,19.19,11.76,8069.34
0.4228,9.55,4.27,3372.78
0.786,3.57,0.94,1359.46
0.5348,7.42,3.26,2980.2
0.5655,4.22,1.45,1541.9
0.1237,23.59,13.21,8277.4
0.5152,10.58,4.47,3509.68
0.7187,1.71,0.31,604.29
0.3091,12.95,5.95,3176.29
0.4548,8.15,3.71,2835.06
0.9325,0.93,0.2,448.97
0.473,9.55,4.22,3896.77
0.4909,7.78,3.34,1893.75
0.2118,20.44,11.24,7937.33
0.7234,2.25,0.67,587.44
0.4537,4.98,1.44,1756.81
0.6508,2.35,0.65,1070.61
0.7581,1.92,0.43,954.11
0.6976,1.95,0.59,691.1
0.3135,11.0,4.12,3791.86
0.5348,6.02,1.82,1762.66
0.264,25.94,13.74,9356.99
0.8253,3.21,0.88,1030.61
0.3779,9.3,3.99,1893.02
0.2941,15.83,7.91,6192.89
0.7163,3.37,1.06,754.9
0.2065,31.83,16.5,10872.64
0.5959,5.93,2.22,1777.35
0.4139,7.99,3.51,1669.02
0.3465,11.98,5.01,2661.89
0.4144,9.33,4.49,1999.0
0.8452,2.25,0.64,744.39
0.6849,4.25,1.14,1567.19
0.6032,4.53,1.71,1557.77
0.431,12.64,5.58,3640.36
0.8584,2.59,0.71,1178.06
0.4133,9.6,4.1,3646.03
0.206,31.57,18.77,11070.63
0.3872,12.57,6.32,4115.99
0.837,0.98,0.12,481.29
0.2365,23.83,12.66,5760.86
0.6815,4.03,1.47,1194.09
0.6053,5.15,1.46,1482.64
0.1853,25.33,12.19,9242.97
0.7076,2.58,0.79,846.02
0.8805,1.61,0.31,708.35
0.4778,3.05,0.91,725.89
0.1757,32.93,18.03,9055.02
0.6156,5.49,2.32,1282.49
0.5127,10.21,5.19,3957.25
0.5766,4.88,1.72,1532.21
0.4773,8.37,2.9,2903.69
0.6446,4.68,1.37,1641.38
0.5878,3.91,1.71,871.72
0.506,9.02,3.97,3441.44
0.787,2.4,0.77,996.61
0.389,8.33,4.39,2823.94
0.6171,3.11,0.65,967.48
0.1765,21.37,11.13,7730.99
0.4437,5.73,2.26,2147.29
0.2449,19.22,9.46,7786.03
0.471,4.87,1.57,1263.41
0.6504,4.83,1.35,2064.85
0.6021,3.9,1.37,1718.55
0.5447,8.5,3.46,2289.95
0.558,6.07,2.59,2199.25
0.3075,15.96,7.75,4077.85
0.2762,9.16,3.93,2338.86
0.4052,10.92,5.03,3747.39
0.3562,12.49,5.04,2512.87
0.3656,12.61,4.28,2689.18
0.5631,5.79,2.32,2038.75
0.6768,2.49,0.84,1045.89
0.6678,3.5,1.14,845.26
0.4925,11.7,4.6,2274.17
0.5344,2.77,0.74,653.49
0.3267,12.36,6.29,2401.69
0.8149,3.32,0.96,1407.04
0.4398,11.01,5.01,3400.55
0.4227,11.66,4.69,4224.45
0.6184,3.82,1.03,1269.75
0.7227,2.9,0.64,1335.75
0.1639,18.77,10.41,5659.66
0.4401,8.57,3.31,3650.66
0.7262,2.96,0.73,1028.2
0.229,19.19,11.82,7987.45
0.2588,17.22,9.25,5225.22
0.4712,7.19,2.3,3002.25
0.6614,3.18,0.84,914.54
0.5452,3.04,0.88,1122.27
0.9167,1.09,0.18,504.75
0.7702,1.49,0.31,466.86
0.6006,4.86,1.69,1581.33
0.5076,9.49,3.68,2259.03
0.2946,13.2,6.01,5412.14
0.6562,5.32,1.67,1567.64
0.783,2.3,0.48,663.97
0.8076,2.03,0.44,777.89
0.4109,8.78,3.7,3272.08
0.2828,15.8,8.14,3071.85
0.6859,4.58,1.58,1306.2
0.4015,8.66,3.84,2824.43
0.1749,20.07,11.53,7633.51
0.5936,4.9,1.51,1340.55
0.5519,5.11,1.94,1449.32
0.3926,13.5,7.71,5011.55
0.352,10.8,4.98,2631.46
0.6179,5.04,1.8,2180.85
0.4269,6.9,2.53,2608.09
0.6704,2.91,0.76,1320.31
0.4603,11.34,4.39,3090.89
0.4227,5.25,2.2,1291.56
0.707,3.2,1.02,1110.8
0.6879,2.73,0.85,856.12
0.5549,2.46,0.93,753.26
0.2792,18.08,8.21,5078.24
0.3183,11.46,5.8,3358.93
0.3009,14.15,6.81,3712.95
0.2933,16.79,8.18,4198.47
0.6424,4.02,1.22,1090.13
0.207,22.3,10.95,7756.38
0.8732,1.0,0.12,393.59
0.3164,14.06,6.8,5037.54
0.5258,5.35,2.12,2065.67
0.7935,1.35,0.33,525.19
0.6031,5.31,1.79,2251.03
0.4787,8.89,3.19,3761.39
0.7825,3.04,0.82,829.19
0.6299,8.05,2.83,2246.97
0.7249,3.32,0.87,1420.41
0.3917,11.82,5.85,4400.94
0.4059,13.71,6.63,2718.92
0.8225,1.32,0.18,625.38
0.4791,4.72,1.91,1875.86
0.4268,7.06,2.6,2959.4
0.8194,1.83,0.35,540.39
0.4332,7.53,2.06,2383.86
0.2918,17.88,9.22,5181.43
0.2483,19.79,10.9,5430.61
0.4832,8.62,3.56,2211.14
0.7205,1.66,0.33,494.68
0.3927,8.07,4.08,3261.95
0.4301,6.82,3.2,2318.75
0.3507,14.01,5.72,4722.7
0.2331,26.89,14.08,6705.24
0.4911,5.31,1.48,2286.06
0.4409,14.88,6.91,6102.88
0.5815,5.82,1.73,2097.32
0.4798,3.92,1.62,1206.17
0.3974,8.35,3.98,2076.52
0.6725,5.15,1.57,1785.94
0.3576,10.97,4.73,4285.31
0.3826,7.3,3.43,3267.02
0.4995,4.77,1.88,1049.36
0.6469,1.8,0.48,673.31
0.7521,1.68,0.33,580.72
0.3918,8.77,4.2,2477.92
0.3435,17.09,8.97,5924.78
0.4358,12.34,4.33,3941.22
0.1084,25.81,16.42,10264.31
0.2997,16.27,9.3,3937.83
0.7624,2.88,0.87,965.77
0.4778,4.74,2.04,1531.79
0.5971,2.98,1.21,1199.68
0.4393,9.25,3.32,3679.63
0.5302,5.13,1.68,2062.12
0.3161,15.75,7.27,4978.09
0.321,17.53,8.4,4288.62
0.6533,2.11,0.59,866.73
0.4956,5.55,1.84,2346.08
0.4079,7.52,3.13,1911.83
0.4769,5.47,2.08,1417.01
0.3703,10.39,5.33,2094.49
0.7367,2.05,0.53,811.63
0.6411,2.66,0.48,939.02
0.736,2.98,0.91,830.38
0.347,16.28,9.07,3867.12
0.2478,14.26,7.04,4957.78
0.6637,4.05,1.39,1252.8
0.5147,4.54,1.54,1141.14
0.8307,1.35,0.35,674.87
0.7713,1.82,0.36,433.31
0.6445,3.9,1.16,775.75
0.3219,15.96,7.45,4027.86
0.3691,12.34,5.55,3251.78
0.7537,3.04,0.74,640.47
0.685,4.01,0.93,1005.53
0.7347,3.02,0.82,891.86
0.635,3.11,1.06,1268.3
0.635,4.08,1.4,1571.0
0.4754,14.24,6.39,3369.19
0.6444,5.63,1.89,2068.42
0.99,1.49,0.3,420.79
0.7602,2.68,0.62,1110.12
0.2538,11.44,5.64,2989.9
0.476,5.09,2.02,1149.3
0.4561,4.12,1.97,1334.09
0.5132,8.24,3.67,1916.74
0.6319,3.19,1.08,891.75
0.3676,13.02,6.71,3469.57
0.5385,6.01,1.64,2181.9
0.5968,2.39,0.79,628.87
0.1569,28.04,16.7,7084.17
0.603,3.58,1.34,1580.71
0.3162,11.21,5.4,2819.06
0.3154,8.8,3.74,2127.45
0.6877,1.99,0.49,721.14
0.6346,3.77,1.03,820.26
0.279,27.66,16.24,10336.1
0.6344,2.78,1.13,786.35
0.5138,5.4,2.6,1228.89
0.7071,2.28,0.62,968.8
0.4737,7.69,3.06,2994.53
0.6587,3.57,0.98,1410.3
0.431,16.22,7.02,3919.6
0.4503,4.42,1.59,1502.2
0.4679,10.01,4.03,4228.03
0.339,9.1,4.63,2811.47
0.5388,4.65,1.63,2102.52
0.5829,4.43,1.73,1649.82
0.818,2.17,0.65,1043.87
0.4249,12.56,6.19,2959.16
0.3684,9.76,5.27,4109.94
0.2073,22.46,10.9,8839.51
0.3967,7.17,2.86,2778.81
0.7331,2.93,0.82,1377.74
0.2219,22.22,11.67,8259.44
0.6287,5.6,2.3,1988.11
0.6829,3.44,0.89,1312.85
0.4163,11.57,4.65,4471.51
0.7657,2.18,0.61,939.45
0.4773,14.06,5.72,4547.15
0.6036,3.3,0.94,1256.3
0.316,8.99,4.26,3690.92
0.3721,13.79,5.95,2700.57
0.7823,1.6,0.49,679.38
0.307,12.18,5.07,4057.54
0.5851,3.21,1.2,1339.19
0.1517,47.51,30.12,11025.91
0.5289,6.79,2.12,2173.47
0.423,14.18,6.44,3098.68
0.6239,4.63,1.73,1672.87
0.5032,8.03,3.27,3140.04
0.4717,4.54,1.59,1614.8
0.2277,24.85,12.26,7841.1
0.5272,4.09,1.54,1130.88
0.6803,4.08,1.07,1443.55
0.4244,9.86,4.54,4041.87
0.5289,3.48,1.15,1426.69
0.2363,14.7,8.13,2944.54
0.4311,10.19,5.49,3129.29
0.377,8.56,3.44,3108.25
0.3764,10.54,4.64,3328.45
0.3539,14.42,6.27,4770.37
0.4801,8.98,4.32,3786.55
0.624,6.53,2.25,2635.23
0.2987,16.16,7.92,3308.7
0.4134,16.29,7.17,5113.41
0.5074,10.1,4.2,3474.93
0.8678,3.28,0.65,1361.97
0.3347,9.4,4.7,2359.05
0.5453,3.47,1.38,787.55
0.8854,1.09,0.24,473.25
0.9041,0.97,0.13,420.74
0.6888,2.72,0.74,820.86
0.8889,0.77,0.14,443.2
0.593,7.72,3.24,2111.73
0.8077,1.35,0.37,335.98
0.6784,4.83,1.37,1006.17
0.4822,9.73,3.95,2260.02
0.7229,1.84,0.38,401.77
0.5424,5.24,1.66,1614.85
0.6455,3.94,1.37,923.21
0.3151,14.32,5.83,4560.35
0.2275,12.45,5.78,3634.68
0.2677,13.35,7.54,4384.66
0.8399,3.28,1.1,1489.24
0.3207,12.88,7.66,5458.92
0.3287,9.38,4.81,2683.62
0.8251,1.89,0.42,564.84
0.623,3.26,1.09,1346.23
0.3017,10.99,4.81,3077.04
0.5668,4.77,1.79,1817.37
0.3379,11.36,5.98,3766.29
0.4621,14.58,6.59,3415.65
0.3629,11.82,4.75,3399.53
0.2521,21.64,12.36,8422.43
0.3509,14.89,6.54,4687.8
0.7204,2.42,0.58,1025.07
0.7231,3.03,1.13,1134.84
0.4128,9.1,3.33,2705.04
0.6905,2.37,0.91,710.39
0.5072,7.57,3.26,2597.76
0.3782,6.2,2.34,1417.33
0.7952,1.33,0.33,480.08
0.5044,7.41,2.49,1564.75
0.6103,3.13,0.9,1353.8
0.6625,4.67,1.62,1765.37
0.4608,5.68,2.17,1332.37
0.315,13.33,6.13,4974.12
0.7754,1.66,0.39,786.93
0.3772,14.28,5.65,5228.5
0.4559,9.88,3.39,2647.72
0.5037,6.02,1.9,2027.82
0.6692,3.57,1.48,1196.75
0.5033,4.8,2.05,1473.23
0.7377,2.69,0.76,1009.38
0.581,3.25,1.05,921.18
0.3709,7.46,3.5,2969.75
0.493,7.77,3.67,3328.33
0.4631,8.29,3.76,2264.83
0.1722,18.44,12.09,4929.43
0.5659,2.64,0.84,755.04
0.4354,10.25,4.8,4031.15
0.6916,3.05,1.07,770.15
0.1983,25.83,13.05,9689.36
0.6778,4.41,1.49,1733.61
0.4993,6.69,1.8,1876.7
0.8486,1.38,0.29,608.72
0.3604,10.15,4.33,2960.12
0.8201,2.38,0.53,671.44
0.2357,17.91,9.33,7188.09
0.6455,6.25,2.34,1968.18
0.7464,1.66,0.37,447.29
0.4791,5.28,2.55,1908.84
0.6058,2.49,0.87,943.79
0.8972,0.99,0.13,407.25
0.5143,5.32,2.14,1500.99
0.7802,3.09,0.98,1150.37
0.5794,5.46,2.14,1557.19
0.1947,15.1,7.06,4512.72
0.2562,11.89,7.49,2828.33
0.2845,11.56,6.19,3950.53
0.4987,6.09,1.89,2466.59
0.5339,7.43,2.9,1682.46
0.8317,1.86,0.43,415.08
0.4889,10.47,4.33,3956.95
0.3519,11.56,5.03,3076.62
0.4008,7.73,3.31,2083.05
0.1605,24.06,12.68,7767.99
0.508,7.98,2.79,2546.83
0.3045,15.34,7.92,3408.28
0.6466,2.35,0.69,904.77
0.6185,5.82,1.93,1493.6
0.6918,5.7,2.03,2278.86
0.7476,2.42,0.55,1046.93
0.2179,14.13,6.88,3280.84
0.7465,2.3,0.38,991.43
0.7765,3.64,0.77,1319.35
0.263,26.79,14.79,11309.62
0.2896,10.07,5.35,3702.81
0.5882,4.17,1.12,1397.66
0.5171,9.27,4.21,3194.79
0.6169,3.37,1.15,1296.5
0.3438,17.23,6.99,6311.36
0.6208,3.57,1.1,1216.01
0.7354,3.37,1.09,1460.73
0.6221,3.31,0.81,857.27
0.2671,19.97,12.43,8218.15
0.7856,1.41,0.27,571.77
0.346,12.67,4.89,2512.54
0.5654,6.37,2.21,1532.84
0.7408,2.18,0.74,896.31
0.2934,12.29,6.18,4628.71
0.7301,2.88,0.78,965.83
0.3604,9.32,5.06,3714.6
0.2266,27.59,15.15,6712.29
0.3919,7.5,4.38,1966.13
0.1317,27.48,17.52,5953.26
0.6996,2.76,0.72,903.57
0.6792,2.72,0.78,939.91
0.4213,5.79,2.42,1388.87
0.2958,28.65,14.42,6032.28
0.3246,20.9,11.74,5948.28
0.2153,16.25,8.63,4049.65
0.3704,9.73,3.54,3217.72
0.23,16.76,9.46,5199.12
0.8283,2.26,0.61,674.61
0.7004,3.3,0.67,813.17
0.863,1.69,0.39,750.96
0.5024,4.3,1.91,1819.49
0.3977,7.87,3.51,2363.24
0.7145,1.48,0.32,625.94
0.385,12.42,6.01,5172.03
0.6151,3.56,1.2,1345.68
0.4834,6.73,2.65,1922.45
0.4191,7.75,3.01,3001.04
0.4532,5.49,0.94,1810.73
0.5228,4.76,1.61,1539.1
0.8342,2.05,0.5,726.9
0.8419,1.7,0.39,555.31
0.8491,1.91,0.46,865.47
0.6731,2.36,0.79,629.32
0.3514,14.19,6.84,4138.1
0.631,3.64,1.07,862.28
0.6192,4.61,1.07,1651.41
0.4213,6.33,2.15,1728.58
0.5527,6.21,1.84,1806.97
0.6213,3.17,1.06,1424.83
0.4817,8.31,3.23,2107.51
0.5072,7.04,2.64,1420.73
0.3488,12.69,5.4,4185.28
0.6141,3.29,0.91,1073.66
0.514,5.24,2.28,1147.12
0.5645,4.75,1.62,1386.2
0.639,2.48,0.82,603.63
0.8816,2.02,0.17,616.4
0.7277,2.5,0.73,997.65
0.3647,7.73,3.35,2107.67
0.8014,1.74,0.39,696.62
0.4871,5.84,2.78,1564.07
0.5713,6.06,1.98,2578.48
0.2197,20.4,10.96,7627.53
0.6159,3.51,0.92,1201.95
0.6804,3.59,1.1,1362.61
